domain,title,ip,server,encode
www.wda.gov.tw,勞動力發展署全球資訊網,117.56.83.12,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips Resin/3.1.12",utf8
www.nca.gov.tw,內政部役政署,163.29.79.240,,utf8
www.mac.gov.tw,行政院大陸委員會全球網,117.56.123.1,Microsoft-IIS/7.5,utf8
www.tbroc.gov.tw,交通部觀光局,211.79.201.15,,utf8
www.mocs.gov.tw,銓敍部全球資訊網,210.69.104.45,Microsoft-IIS/7.5,utf8
i-read.moe.gov.tw,,,,utf8
enable.nat.gov.tw,,,,utf8
www.penghu.gov.tw,澎湖縣政府全球資訊網-澎湖縣政府,163.29.98.56,Apache,utf8
www.phlib.nat.gov.tw,澎湖縣圖書館,210.241.42.173,Microsoft-IIS/7.0,utf8
phu.phlib.nat.gov.tw,"Spydus - 快速檢索",210.241.42.169,"Apache/2.2.25 (Win32)",utf8
topic.phhcc.gov.tw,"澎湖研究學術研討會 論文輯",163.29.98.2,Microsoft-IIS/6.0,big5
eservice.penghu.gov.tw,澎湖縣政府申辦服務系統-首頁,163.29.98.56,Apache,utf8
law.penghu.gov.tw,澎湖縣政府-主管法規查詢系統(外部版),163.29.98.40,Microsoft-IIS/6.0,utf8
volunteer.phhcc.gov.tw,澎湖縣政府文化局義工隊,163.29.98.2,Microsoft-IIS/6.0,big5
www.phpb.gov.tw,澎湖縣政府警察局,163.29.119.203,Microsoft-IIS/6.0,utf8
